model_name,num_model_params,accuracy,validation_accuracy,loss,val_loss
DenseNet121,7037504,0.35977563,0.34515366,1.2248526001587892,1.331903487443924
DenseNet169,12642880,0.38942307,0.3530339,1.1722534589278393,1.1958596020936967
DenseNet121,7037504,0.34001604,0.33412135,1.249492772503098,1.3052226901054382
DenseNet169,12642880,0.3846154,0.34042552,1.1731579227325244,1.2191372722387315
DenseNet201,18321984,0.3653846,0.36643025,1.2075179708309662,1.1315393596887589
InceptionResNetV2,54336736,0.3680834,0.34121355,1.129501841215487,1.2849690899252892
InceptionV3,21802784,0.39022437,0.3427896,1.17374849319458,1.2451715648174286
MobileNet,3228864,0.40064102,0.34121355,1.2219708088116767,1.266168048977852
MobileNetV2,2257984,0.39294305,0.3246651,1.1588048645278026,1.419430211186409
NASNetLarge,84916818,0.38141027,0.3420016,1.1922013041300652,1.214789292216301
NASNetMobile,4269716,0.3533654,0.34121355,1.178837082324884,1.2210352569818497
ResNet101,42658176,0.34935898,0.33333334,1.3188396157362523,1.453389012813568
ResNet101V2,42626560,0.3669872,0.37037036,1.1771938861944737,1.714531797170639
ResNet152,58370944,0.4198718,0.31048068,1.1609689394632976,1.4688470929861068
ResNet152V2,58331648,0.38251805,0.34751773,1.1660054892468854,1.5502558648586273
ResNet50,23587712,0.40945512,0.30654058,1.199111547225561,1.5621461480855943
